BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41366,7
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41352,2
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41346,4
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41334,110
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41340,11
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41322,30
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41328,630
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41304,22
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41310,2
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41298,48
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41286,17
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41515,1
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41485,1
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41473,9
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41461,5
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41449,84
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41437,84
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41431,8
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41414,2
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41408,10
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41370,49
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41316,110
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41292,18
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41280,4
26,Sydney City Ocean Beaches,Randwick Council,Coogee Beach,151.25817,-33.92076,41276,15
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41352,56
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41358,4
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41382,1
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41414,1
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41431,0
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41437,660
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41425,2
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41449,41
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41473,4
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41479,43
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41508,4
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41515,1
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41494,13
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41370,27
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41366,1
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41376,0
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41388,13
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41395,0
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41401,0
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41408,5
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41419,8
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41455,42
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41461,2
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41467,8
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41485,0
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41500,0
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41502,0
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41519,0
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41533,5
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41551,0
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41545,0
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41559,0
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41575,3
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41599,12
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41583,8
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41591,2
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41607,46
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41621,0
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41527,1
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41539,5
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41567,3
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41631,0
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41639,68
25.9,Sydney City Ocean Beaches,Randwick Council,Gordons Bay (East),151.264558,-33.915646,41615,1
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41639,420
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41631,3
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41615,9
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41567,3
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41621,25
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41539,8
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41607,9
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41527,2
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41519,1
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41591,8
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41583,34
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41599,26
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41575,33
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41559,2
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41551,11
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41545,5
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41533,1
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41515,0
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41485,0
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41473,2
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41461,0
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41437,1
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41449,59
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41431,6
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41414,0
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41395,4
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41408,4
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41401,0
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41388,4
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41370,10
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41352,0
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41322,160
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41334,56
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41346,5
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41298,45
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41494,7
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41500,1
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41502,0
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41508,27
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41479,0
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41467,9
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41442,1
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41455,4900
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41425,2
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41419,9
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41382,0
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41376,20
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41358,420
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41366,50
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41340,31
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41328,330
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41316,150
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41276,9
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41280,3
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41292,1
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41286,72
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41304,44
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,41310,7
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41310,13
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41304,13
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41286,390
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41292,15
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41276,2
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41322,23
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41328,390
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41340,6
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41358,28
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41366,12
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41376,8
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41382,3
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41388,6
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41408,40
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41419,50
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41395,32
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41455,2500
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41442,40
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41467,2
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41485,11
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41502,1
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41500,5
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41298,110
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41280,4
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41352,4
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41346,9
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41316,140
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41334,24
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41370,52
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41401,5
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41431,3
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41425,4
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41414,5
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41449,20
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41437,9
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41461,0
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41479,170
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41473,9
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41494,54
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41508,1
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41515,2
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41527,10
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41533,6
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41551,6
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41575,50
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41599,5
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41591,7
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41621,13
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41519,1
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41545,5
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41539,1
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41583,26
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41567,10
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41559,4
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41631,10
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41615,9
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41607,4
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,41639,1500
27,Sydney City Ocean Beaches,Randwick Council,Maroubra Beach,151.25718,-33.94879,41599,3
27,Sydney City Ocean Beaches,Randwick Council,Maroubra Beach,151.25718,-33.94879,41639,2100
27,Sydney City Ocean Beaches,Randwick Council,Maroubra Beach,151.25718,-33.94879,41621,0
27,Sydney City Ocean Beaches,Randwick Council,Maroubra Beach,151.25718,-33.94879,41551,0
27,Sydney City Ocean Beaches,Randwick Council,Maroubra Beach,151.25718,-33.94879,41575,36
27,Sydney City Ocean Beaches,Randwick Council,Maroubra Beach,151.25718,-33.94879,41631,0
27,Sydney City Ocean Beaches,Randwick Council,Maroubra Beach,151.25718,-33.94879,41591,0
27,Sydney City Ocean Beaches,Randwick Council,Maroubra Beach,151.25718,-33.94879,41533,130
27,Sydney City Ocean Beaches,Randwick Council,Maroubra Beach,151.25718,-33.94879,41615,1
27,Sydney City Ocean Beaches,Randwick Council,Maroubra Beach,151.25718,-33.94879,41607,11
27,Sydney City Ocean Beaches,Randwick Council,Maroubra Beach,151.25718,-33.94879,41583,3
27,Sydney City Ocean Beaches,Randwick Council,Maroubra Beach,151.25718,-33.94879,41559,2
